,start,end,A,B,C,Delta,R2_Raw,R2_SGF
0,0,306,7.442341695671552e-09,-4.122852985719711e-05,0.006089787298316528,306,0.788,0.919
1,307,441,1.171337762866118e-06,-0.0012599034474847222,0.4600169381888771,134,0.751,0.896
2,442,488,1.3680756679729228e-05,-0.01755526268162054,7.485824495270481,46,0.837,0.954
3,489,504,-0.0028177835708163854,4.194411934506252,-2081.006612803187,15,0.695,0.932
4,505,528,-0.00022285366279625984,0.33725073657004495,-169.9599547912443,23,0.77,0.981
5,529,548,-0.0014775221713365977,2.381886522912655,-1279.7340122455446,19,0.736,0.962
6,549,559,0.0030343781972998595,-5.0565998682644535,2808.9407992174015,10,0.702,0.996
7,560,594,0.00043060909759248285,-0.7466214922179999,431.366451111432,34,0.804,0.964
8,595,622,-0.0001255040600689289,0.23127975766077016,-141.959776739098,27,0.774,0.974
9,623,658,-0.00025240738216778755,0.4892131663697722,-315.9207163607257,35,0.831,0.926
10,659,664,0.005555555688540653,-11.123110487043347,7422.403210460092,5,0.858,0.997
11,665,671,-0.000997150985918082,2.006585059113515,-1346.3153798056735,6,0.849,0.999
12,672,704,0.0002746329261653029,-0.5620056371156725,383.2461021757078,32,0.792,0.912
13,705,714,-0.002052395951349132,4.356822974189378,-3082.7520603613793,9,0.697,0.987
14,715,724,-0.006362350469157159,13.733223549221089,-9880.96908489717,9,0.484,0.913
15,725,734,-0.003722857003881183,8.184765941354115,-5997.896762150354,9,0.763,0.972
16,735,744,0.0012805117697088362,-2.8274509477008722,2080.9748448959776,9,0.153,0.968
17,745,774,-0.00021593272845493708,0.49576634437823264,-379.3105111112986,29,0.815,0.943
18,775,804,-0.0008394671545274941,1.9888417919215933,-1570.4339689227902,29,0.885,0.977
19,805,821,-0.002259977728327148,5.517048681660488,-4489.394748075418,16,0.727,0.992
20,822,842,-0.00027490153835378205,0.6885721463498933,-574.9804831254335,20,0.822,0.993
21,843,924,-1.7373385371029377e-05,0.04641386536381579,-41.32113859836022,81,0.627,0.897
22,925,1075,7.978994324648133e-07,-0.0024287413881894024,2.4465284586178018,150,0.884,0.965
23,1076,1274,-8.048828933228052e-07,0.002826793174913385,-3.2974935007753605,198,0.738,0.906
24,1275,1284,-0.001044377786365008,3.9979970254335226,-5101.557493230022,9,0.439,0.961
